FiscalYear,School Entity ID,SchoolName,subject_norm,Number Tested,Percent Passing
2022,794564,,Math,*,16
2022,92522,,ELA,*,82
2022,92522,,Math,117,73
2022,92521,,ELA,*,34
2022,92521,,Math,*,25
2022,5509,,ELA,*,75
2022,5509,,Math,*,69
2022,1000169,,ELA,*,53
2022,1000169,,Math,*,49
2022,703390,,ELA,*,53
2022,703390,,Math,*,58
2022,79374,,ELA,*,60
2022,79374,,Math,*,60
2022,89581,,ELA,*,62
2022,89581,,Math,*,53
2022,1001176,,ELA,*,54
2022,1001176,,Math,*,43
2022,78809,,ELA,*,83
2022,78809,,Math,*,64
2022,79042,,ELA,*,7
2022,79042,,Math,*,11
2022,90035,,ELA,*,20
2022,90035,,Math,*,4
2022,89789,,ELA,*,23
2022,89789,,Math,*,21
2022,89791,,ELA,*,27
2022,89791,,Math,*,29
2022,10811,,ELA,*,*
2022,10811,,Math,*,*
2022,10746,,ELA,*,15
2022,10746,,Math,*,23
2022,88232,,ELA,*,12
2022,88232,,Math,*,2
2022,79113,,ELA,*,68
2022,79113,,Math,*,42
2022,79476,,ELA,*,*
2022,79476,,Math,*,*
2022,78899,,ELA,*,2
2022,78899,,Math,*,*
2022,92246,,ELA,*,47
2022,92246,,Math,*,43
2022,10748,,ELA,*,3
2022,10748,,Math,*,*
2022,91158,,ELA,*,54
2022,91158,,Math,*,48
2022,1001670,,ELA,*,9
2022,1001670,,Math,*,3
2022,10749,,ELA,*,5
2022,10749,,Math,*,2
2022,6349,,ELA,*,*
2022,6349,,Math,*,4
2022,79111,,ELA,*,*
2022,79111,,Math,*,*
2022,87416,,ELA,*,44
2022,87416,,Math,*,39
2022,91597,,ELA,*,33
2022,91597,,Math,*,18
2022,87350,,ELA,*,10
2022,87350,,Math,*,3
2022,92732,,ELA,*,76
2022,92732,,Math,*,61
2022,81175,,ELA,*,36
2022,81175,,Math,*,40
2022,92605,,ELA,*,54
2022,92605,,Math,*,60
2022,969999,,ELA,*,*
2022,969999,,Math,*,*
2022,91781,,ELA,*,47
2022,91781,,Math,*,50
2022,4980,,ELA,*,24
2022,4980,,Math,*,26
2022,4981,,ELA,*,28
2022,4981,,Math,*,24
2022,4982,,ELA,*,55
2022,4982,,Math,*,50
2022,4983,,ELA,*,31
2022,4983,,Math,*,21
2022,4984,,ELA,*,52
2022,4984,,Math,*,50
2022,78917,,ELA,*,33
2022,78917,,Math,*,27
2022,78930,,ELA,*,41
2022,78930,,Math,*,27
2022,78932,,ELA,*,*
2022,78932,,Math,*,*
2022,10847,,ELA,*,49
2022,10847,,Math,*,19
2022,1000059,,ELA,*,34
2022,1000059,,Math,*,*
2022,1000282,,ELA,*,9
2022,1000282,,Math,*,*
2022,5482,,ELA,*,55
2022,5482,,Math,*,40
2022,91422,,ELA,*,83
2022,91422,,Math,*,75
2022,79702,,ELA,*,9
2022,79702,,Math,*,6
2022,5493,,ELA,*,11
2022,5493,,Math,*,*
2022,10737,,ELA,*,*
2022,10737,,Math,*,*
2022,78814,,ELA,*,*
2022,78814,,Math,*,*
2022,79174,,ELA,*,15
2022,79174,,Math,*,*
2022,80026,,ELA,*,8
2022,80026,,Math,*,*
2022,89440,,ELA,*,9
2022,89440,,Math,*,8
2022,89827,,ELA,*,2
2022,89827,,Math,*,*
2022,1001731,,ELA,*,14
2022,1001731,,Math,*,7
2022,5530,,ELA,*,8
2022,5530,,Math,*,*
2022,90208,,ELA,*,*
2022,90208,,Math,*,*
2022,1001762,,ELA,*,*
2022,1001762,,Math,*,*
2022,79579,,ELA,*,18
2022,79579,,Math,*,10
2022,5071,,ELA,*,*
2022,5071,,Math,*,*
2022,5105,,ELA,*,47
2022,5105,,Math,*,43
2022,5106,,ELA,486,64
2022,5106,,Math,490,53
2022,5107,,ELA,382,26
2022,5107,,Math,403,17
2022,5108,,ELA,245,52
2022,5108,,Math,249,43
2022,79268,,ELA,566,69
2022,79268,,Math,569,64
2022,90782,,ELA,*,46
2022,90782,,Math,*,20
2022,92611,,ELA,*,19
2022,92611,,Math,*,13
2022,89828,,ELA,*,62
2022,89828,,Math,*,39
2022,850102,,ELA,*,6
2022,850102,,Math,*,6
2022,5013,,ELA,*,33
2022,5013,,Math,*,28
2022,5014,,ELA,*,28
2022,5014,,Math,268,33
2022,5015,,ELA,402,35
2022,5015,,Math,404,29
2022,5016,,ELA,469,47
2022,5016,,Math,471,39
2022,5017,,ELA,475,54
2022,5017,,Math,481,45
2022,6231,,ELA,*,6
2022,6231,,Math,*,*
2022,81207,,ELA,107,61
2022,81207,,Math,107,41
2022,85835,,ELA,406,26
2022,85835,,Math,410,21
2022,87520,,ELA,574,51
2022,87520,,Math,577,46
2022,10814,,ELA,*,5
2022,10814,,Math,*,*
2022,5436,,ELA,*,7
2022,5436,,Math,*,9
2022,5437,,ELA,*,9
2022,5437,,Math,*,9
2022,5438,,ELA,*,10
2022,5438,,Math,*,6
2022,5439,,ELA,*,20
2022,5439,,Math,*,13
2022,5440,,ELA,*,8
2022,5440,,Math,*,9
2022,5441,,ELA,*,11
2022,5441,,Math,*,9
2022,5442,,ELA,*,16
2022,5442,,Math,*,13
2022,5443,,ELA,*,12
2022,5443,,Math,*,6
2022,6248,,ELA,*,21
2022,6248,,Math,*,14
2022,6249,,ELA,*,3
2022,6249,,Math,*,*
2022,78847,,ELA,*,13
2022,78847,,Math,*,10
2022,79617,,ELA,*,4
2022,79617,,Math,*,4
2022,88407,,ELA,*,79
2022,88407,,Math,*,62
2022,89571,,ELA,*,27
2022,89571,,Math,*,26
2022,89778,,ELA,*,23
2022,89778,,Math,*,14
2022,128903,,ELA,*,21
2022,128903,,Math,*,25
2022,221992,,ELA,*,59
2022,221992,,Math,*,48
2022,875776,,ELA,*,13
2022,875776,,Math,*,7
2022,87335,,ELA,*,33
2022,87335,,Math,*,*
2022,91213,,ELA,*,20
2022,91213,,Math,*,40
2022,5463,,ELA,*,*
2022,5463,,Math,*,*
2022,81180,,ELA,*,5
2022,81180,,Math,*,*
2022,79619,,ELA,*,*
2022,79619,,Math,*,*
2022,289884,,ELA,*,*
2022,289884,,Math,*,*
2022,79456,,ELA,*,40
2022,79456,,Math,*,26
2022,79570,,ELA,*,4
2022,79570,,Math,*,7
2022,5141,,ELA,*,60
2022,5141,,Math,*,51
2022,92628,,ELA,*,21
2022,92628,,Math,*,11
2022,1000117,,ELA,*,56
2022,1000117,,Math,*,57
2022,90825,,ELA,*,*
2022,90825,,Math,*,*
2022,5467,,ELA,*,72
2022,5467,,Math,*,60
2022,79952,,ELA,*,25
2022,79952,,Math,*,12
2022,85819,,ELA,*,17
2022,85819,,Math,*,19
2022,90159,,ELA,*,*
2022,90159,,Math,*,*
2022,89799,,ELA,*,33
2022,89799,,Math,*,29
2022,89757,,ELA,*,93
2022,89757,,Math,*,87
2022,5066,,ELA,*,56
2022,5066,,Math,*,44
